reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,0.2743508749990724,None,0,0,0,6,0.054251582998404047,,0.04683954099891707,0.054251582998404047,1.0050261659998796,1.0050261659998796,1.045493957999497,1.288529124998604,t,0.2743508749990724,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
15,35,13,1,1,0,t,0.2607692080000561,None,0,1,1,1,1.3136616659994615,,1.2955448329994397,1.3136616659994615,2.2863411660000565,2.2863411660000565,2.311140957999669,2.5559538749985222,t,0.2607692080000561,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
11,30,7,2,2,0,l,0.15326562500013097,None,0,2,2,0,2.575624249999237,,2.5649166249986592,2.575624249999237,3.558578165999279,3.558578165999279,3.57098754099934,3.72241854099957,l,0.15326562500013097,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
67,76,119,3,3,0,l,0.1632809169987013,None,0,3,3,5,3.7376887499995064,,3.7284511249999923,3.7376887499995064,4.7243905830000585,4.7243905830000585,4.737687457998618,4.890323707999414,l,0.1632809169987013,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
49,60,89,4,4,0,l,0.015282499998647836,None,0,4,4,4,4.904050499999357,,4.896157040999242,4.904050499999357,5.891004832999897,5.891004832999897,5.904336249999687,5.914052915999491,l,0.015282499998647836,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
27,50,21,5,5,0,l,0.15667149999899266,None,0,5,5,2,5.929117790999953,,5.920425832999172,5.929117790999953,6.9209363749996555,6.9209363749996555,6.9294284159987,7.079874874998495,l,0.15667149999899266,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
40,55,62,6,6,0,t,0.08194704199922853,None,0,6,6,3,7.0930698749998555,,7.084332999998878,7.0930698749998555,8.079608582998844,8.079608582998844,8.088078415999917,8.164305165999394,t,0.08194704199922853,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
27,50,21,7,0,1,l,0.11234720800166542,None,1,0,7,2,8.178720500000054,,8.170423290999679,8.178720500000054,9.16186416599885,9.16186416599885,9.170818165999663,9.279252540998641,l,0.11234720800166542,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
40,55,62,8,1,1,t,0.044299667000814225,None,1,1,8,3,9.292459958000109,,9.284180082999228,9.292459958000109,10.277780874999735,10.277780874999735,10.28614183299942,10.329464332999123,t,0.044299667000814225,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
67,76,119,9,2,1,t,None,None,1,2,9,5,10.341153832998316,,10.333463582999684,10.341153832998316,11.327850040999692,11.327850040999692,11.340840040998955,11.430376249998517,t,None,None,2,001,2024-11-30_15h13.26.077,Delay Discounting,2024.2.4,119.15424223559961,2024-11-30 15h13.33.089323 +0530,
