78.6820 	INFO 	Loaded monitor calibration from ['2024_08_16 10:01']
78.7082 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
80.2138 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB171F0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB170D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB14340>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000284B7204CA0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
80.2138 	EXP 	window1: backgroundImage = ''
80.2138 	EXP 	window1: backgroundFit = 'none'
80.2140 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.2141 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.2197 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.2209 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.3210 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.3211 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.3219 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.3226 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000284AEB17E20>
80.3658 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
80.3658 	EXP 	window1: recordFrameIntervals = False
80.5524 	EXP 	window1: recordFrameIntervals = True
80.7359 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
80.7359 	EXP 	window1: recordFrameIntervals = False
80.7360 	EXP 	window1: mouseVisible = False
83.4296 	INFO 	keyboard.Keyboard is using iohub backend.
83.4296 	INFO 	keyboard.Keyboard is using iohub backend.
83.4296 	EXP 	Signal_Detection: status = STARTED
83.4316 	EXP 	window1: mouseVisible = False
83.4394 	EXP 	Created Fixatin = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixatin', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
83.4395 	EXP 	window1: mouseVisible = False
83.4434 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0046 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0079 	EXP 	grating: ori = 0.0
0.0079 	EXP 	Fixatin: autoDraw = True
1.0469 	INFO 	Keyboard events cleared
1.0465 	EXP 	Fixatin: autoDraw = False
1.0465 	EXP 	grating: autoDraw = True
1.0465 	EXP 	grating: tex = 'sin'
1.3583 	EXP 	grating: autoDraw = False
2.7443 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
2.7459 	DATA 	Keypress: up
2.7474 	EXP 	Fixatin: autoDraw = False
2.7474 	EXP 	grating: autoDraw = False
2.7474 	EXP 	grating: ori = 0.0
2.7474 	EXP 	Fixatin: autoDraw = True
3.7587 	INFO 	Keyboard events cleared
3.7581 	EXP 	Fixatin: autoDraw = False
3.7581 	EXP 	grating: autoDraw = True
4.0580 	EXP 	grating: autoDraw = False
4.4758 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
4.4769 	DATA 	Keypress: up
4.4913 	EXP 	Fixatin: autoDraw = False
4.4913 	EXP 	grating: autoDraw = False
4.4913 	EXP 	grating: ori = 2.0
4.4913 	EXP 	Fixatin: autoDraw = True
5.4919 	INFO 	Keyboard events cleared
5.4915 	EXP 	Fixatin: autoDraw = False
5.4915 	EXP 	grating: autoDraw = True
5.7912 	EXP 	grating: autoDraw = False
6.4594 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
6.4606 	DATA 	Keypress: down
6.4746 	EXP 	Fixatin: autoDraw = False
6.4746 	EXP 	grating: autoDraw = False
6.4746 	EXP 	grating: ori = -2.0
6.4746 	EXP 	Fixatin: autoDraw = True
7.4746 	INFO 	Keyboard events cleared
7.4742 	EXP 	Fixatin: autoDraw = False
7.4742 	EXP 	grating: autoDraw = True
7.7741 	EXP 	grating: autoDraw = False
8.2920 	EXP 	New trial (rep=4, index=0): <Trial 4 (0 in rep 4) data={'thisN': 4, 'thisTrialN': 0, 'thisRepN': 4}>
8.2932 	DATA 	Keypress: up
8.3074 	EXP 	Fixatin: autoDraw = False
8.3074 	EXP 	grating: autoDraw = False
8.3074 	EXP 	grating: ori = -5.0
8.3074 	EXP 	Fixatin: autoDraw = True
9.3077 	INFO 	Keyboard events cleared
9.3073 	EXP 	Fixatin: autoDraw = False
9.3073 	EXP 	grating: autoDraw = True
9.6073 	EXP 	grating: autoDraw = False
11.0583 	EXP 	New trial (rep=5, index=0): <Trial 5 (0 in rep 5) data={'thisN': 5, 'thisTrialN': 0, 'thisRepN': 5}>
11.0594 	DATA 	Keypress: down
11.0739 	EXP 	Fixatin: autoDraw = False
11.0739 	EXP 	grating: autoDraw = False
11.0739 	EXP 	grating: ori = 4.0
11.0739 	EXP 	Fixatin: autoDraw = True
12.0740 	INFO 	Keyboard events cleared
12.0734 	EXP 	Fixatin: autoDraw = False
12.0734 	EXP 	grating: autoDraw = True
12.3734 	EXP 	grating: autoDraw = False
12.8912 	EXP 	New trial (rep=6, index=0): <Trial 6 (0 in rep 6) data={'thisN': 6, 'thisTrialN': 0, 'thisRepN': 6}>
12.8924 	DATA 	Keypress: down
12.9068 	EXP 	Fixatin: autoDraw = False
12.9068 	EXP 	grating: autoDraw = False
12.9068 	EXP 	grating: ori = 0.0
12.9068 	EXP 	Fixatin: autoDraw = True
13.9070 	INFO 	Keyboard events cleared
13.9065 	EXP 	Fixatin: autoDraw = False
13.9065 	EXP 	grating: autoDraw = True
14.2067 	EXP 	grating: autoDraw = False
