thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.12037037037037036],[-0.028935185185185185],[1],[0],[0],[1.2640065997838974],['Target'],0,0,0,0,0.06736039975658059,,5,0.04076820006594062,0.06736039975658059,0.06736039975658059,0.040455800015479326,1.0683512999676168,1.305500399786979,[-0.12037037037037036],[-0.028935185185185185],[1],[0],[0],[1.2640065997838974],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
1,0,1,[-0.4201388888888889],[-0.010416666666666666],[1],[0],[0],[1.7608289001509547],['Target'],1,0,1,0,1.3666380001232028,,10,1.3418592000380158,1.3666380001232028,1.3666380001232028,0.03606319986283779,2.3677452001720667,3.1034578001126647,[-0.4201388888888889],[-0.010416666666666666],[1],[0],[0],[1.7608289001509547],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
2,0,2,[-0.125],[-0.4375],[1],[0],[0],[2.036161799915135],['Target'],2,0,2,0,3.1664422997273505,,10,3.149573099799454,3.1664422997273505,3.1664422997273505,0.04579429980367422,4.167921300046146,5.186584400013089,[-0.125],[-0.4375],[1],[0],[0],[2.036161799915135],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
3,0,3,[0.05324074074074074],[-0.4722222222222222],[1],[0],[0],[1.7874373001977801],['Target'],3,0,3,0,5.232895200140774,,5,5.2152089001610875,5.232895200140774,5.232895200140774,0.02836370002478361,6.234015100169927,7.00350569980219,[0.05324074074074074],[-0.4722222222222222],[1],[0],[0],[1.7874373001977801],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
4,0,4,[-0.003472222222222222],[0.4525462962962963],[1],[0],[0],[2.0556864999234676],['Target'],4,0,4,0,7.049074999988079,,5,7.0295214001089334,7.049074999988079,7.049074999988079,0.025760100223124027,8.050469900015742,9.086074899882078,[-0.003472222222222222],[0.4525462962962963],[1],[0],[0],[2.0556864999234676],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
5,0,5,[-0.30787037037037035],[0.4444444444444444],[1],[0],[0],[2.8640590999275446],['Target'],5,0,5,0,9.148881199769676,,10,9.123000400140882,9.148881199769676,9.148881199769676,0.03667199984192848,10.150650099851191,11.987889300100505,[-0.30787037037037035],[0.4444444444444444],[1],[0],[0],[2.8640590999275446],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
6,0,6,[-0.003472222222222222],[-0.4386574074074074],[0],[0],[1],[2.1397699997760355],['Target'],6,0,6,0,12.049051099922508,,10,12.028538099955767,12.049051099922508,12.049051099922508,0.040217400062829256,13.050746200140566,14.16906479978934,[-0.003472222222222222],[-0.4386574074074074],[0],[0],[1],[2.1397699997760355],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
7,0,7,[-0.3784722222222222],[-0.40625],[1],[0],[0],[1.5929931998252869],['Target'],7,0,7,0,14.215360600035638,,5,14.192312099970877,14.215360600035638,14.215360600035638,0.02287149988114834,15.217086299788207,15.786151499953121,[-0.3784722222222222],[-0.40625],[1],[0],[0],[1.5929931998252869],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
8,0,8,[0.1527777777777778],[-0.4444444444444444],[1],[0],[0],[1.3226304999552667],['Target'],8,0,8,0,15.831979900132865,,5,15.811773099936545,15.831979900132865,15.831979900132865,0.02506719995290041,16.833480100147426,17.135237199719995,[0.1527777777777778],[-0.4444444444444444],[1],[0],[0],[1.3226304999552667],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
9,0,9,[-0.0625],[-0.2708333333333333],[1],[0],[0],[1.2874104999937117],['Target'],9,0,9,0,17.181828499771655,,5,17.16394740017131,17.181828499771655,17.181828499771655,0.02840660000219941,18.18326549977064,18.45217219972983,[-0.0625],[-0.2708333333333333],[1],[0],[0],[1.2874104999937117],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
10,0,10,[-0.2835648148148148],[-0.10185185185185185],[1],[0],[0],[1.1088332999497652],['Target'],10,0,10,0,18.498083400074393,,5,18.47521109972149,18.498083400074393,18.498083400074393,0.02276080008596182,19.49994989996776,19.584850700106472,[-0.2835648148148148],[-0.10185185185185185],[1],[0],[0],[1.1088332999497652],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
11,0,11,[0.19675925925925927],[0.3726851851851852],[1],[0],[0],[1.8587082996964455],['Target'],11,0,11,0,19.63180339988321,,5,19.608857799787074,19.63180339988321,19.63180339988321,0.02372810011729598,20.633054899983108,21.46833619987592,[0.19675925925925927],[0.3726851851851852],[1],[0],[0],[1.8587082996964455],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
12,0,12,[0.22685185185185186],[-0.30439814814814814],[1],[0],[0],[1.9927395996637642],['Target'],12,0,12,0,21.514710600022227,,5,21.490673599764705,21.514710600022227,21.514710600022227,0.022057500202208757,22.516237100120634,23.484300899785012,[0.22685185185185186],[-0.30439814814814814],[1],[0],[0],[1.9927395996637642],['Target'],4,004,2024-10-10_21h38.56.109,Visual Search Task,2024.2.1post4,60.05785974917236,2024-10-10 21h39.22.216576 +0530,
