Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,0,0,0,2.0107913669064748,2.0678609590031556,,,,,,,,,,,,0,0,0,8,,,,,0.04032870800438104,,0.019042917003389448,0.04032870800438104,0.04032870800438104,2.096185250004055,2.0107913669064748,2.0678609590031556,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Police,1,1,0,2.0107913669064748,0.7475920840006438,,,,,,,,,,,,0,1,1,12,,,,,2.107159541999863,,2.098709083002177,2.107159541999863,2.107159541999863,2.855121083004633,2.0107913669064748,0.7475920840006438,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Laptop,2,2,0,2.0107913669064748,0.9175422909975168,,,,,,,,,,,,0,2,2,5,,,,,2.868118124999455,,2.858172874999582,2.868118124999455,2.868118124999455,3.7840420420034206,2.0107913669064748,0.9175422909975168,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
cushion,3,3,0,2.0107913669064748,0.8393267919964273,,,,,,,,,,,,0,3,3,1,,,,,3.7929784170046332,,3.7859661250040517,3.7929784170046332,3.7929784170046332,4.633971667004516,2.0107913669064748,0.8393267919964273,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Pastry,4,4,0,2.0107913669064748,0.7231390000015381,,,,,,,,,,,,0,4,4,9,,,,,4.642856708000181,,4.63584775000345,4.642856708000181,4.642856708000181,5.367335499999172,2.0107913669064748,0.7231390000015381,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Cruise,5,5,0,2.0107913669064748,0.44062920800206484,,,,,,,,,,,,0,5,5,11,,,,,5.375513458006026,,5.368504292004218,5.375513458006026,5.375513458006026,5.817433000003803,2.0107913669064748,0.44062920800206484,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Keys,6,6,0,2.0107913669064748,0.17282366600556998,,,,,,,,,,,,0,6,6,13,,,,,5.826041708001867,,5.8190597080028965,5.826041708001867,5.826041708001867,6.0014360420027515,2.0107913669064748,0.17282366600556998,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
phone,7,7,0,2.0107913669064748,0.7395448340030271,,,,,,,,,,,,0,7,7,2,,,,,6.009498542000074,,6.002515708001738,6.009498542000074,6.009498542000074,6.751067042001523,2.0107913669064748,0.7395448340030271,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
marble,8,8,0,2.0107913669064748,0.2894305420049932,,,,,,,,,,,,0,8,8,3,,,,,6.759234708006261,,6.752183542004786,6.759234708006261,6.759234708006261,7.0511675420057145,2.0107913669064748,0.2894305420049932,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Poster,9,9,0,2.0107913669064748,0.3895559160009725,,,,,,,,,,,,0,9,9,14,,,,,7.059258291999868,,7.0522731250021025,7.059258291999868,7.059258291999868,7.4512866670047515,2.0107913669064748,0.3895559160009725,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
T-shirt,10,10,0,2.0107913669064748,0.40564774999802466,,,,,,,,,,,,0,10,10,7,,,,,7.46034020800289,,7.453130042005796,7.46034020800289,7.46034020800289,7.867308375003631,2.0107913669064748,0.40564774999802466,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Case,11,11,0,2.0107913669064748,0.4001497079952969,,,,,,,,,,,,0,11,11,10,,,,,7.875479542002722,,7.868383792003442,7.875479542002722,7.875479542002722,8.284323457999562,2.0107913669064748,0.4001497079952969,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
Chart,12,12,0,2.0107913669064748,0.23367279100057203,,,,,,,,,,,,0,12,12,6,,,,,8.293527042005735,,8.285668542004714,8.293527042005735,8.293527042005735,8.527917917002924,2.0107913669064748,0.23367279100057203,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
book,13,13,0,2.0107913669064748,0.14040462500270223,,,,,,,,,,,,0,13,13,0,,,,,8.538276833001873,,8.529580792004708,8.538276833001873,8.538276833001873,8.679176958001335,2.0107913669064748,0.14040462500270223,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
board,14,14,0,2.0107913669064748,0.1472344579960918,,,,,,,,,,,,0,14,14,4,,,,,8.690064750000602,,8.681354625005042,8.690064750000602,8.690064750000602,8.838378500004183,2.0107913669064748,0.1472344579960918,,,,,,,,,,,,,,,2,001,2024-11-06_10h25.33.110,primming 5.0,2024.2.4,119.68212523015494,2024-11-06 10h25.41.383072 +0530,
