Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,mouse,2.0107913669064748,2.0678609590031556,0,0,0
cushion,Police,2.0107913669064748,0.7475920840006438,1,0,1
phone,Laptop,2.0107913669064748,0.9175422909975168,2,0,2
marble,cushion,2.0107913669064748,0.8393267919964273,3,0,3
board,Pastry,2.0107913669064748,0.7231390000015381,4,0,4
Laptop,Cruise,2.0107913669064748,0.44062920800206484,5,0,5
Chart,Keys,2.0107913669064748,0.17282366600556998,6,0,6
T-shirt,phone,2.0107913669064748,0.7395448340030271,7,0,7
mouse,marble,2.0107913669064748,0.2894305420049932,8,0,8
Pastry,Poster,2.0107913669064748,0.3895559160009725,9,0,9
Case,T-shirt,2.0107913669064748,0.40564774999802466,10,0,10
Cruise,Case,2.0107913669064748,0.4001497079952969,11,0,11
Police,Chart,2.0107913669064748,0.23367279100057203,12,0,12
Keys,book,2.0107913669064748,0.14040462500270223,13,0,13
Poster,board,2.0107913669064748,0.1472344579960918,14,0,14

extraInfo
participant,2
session,001
date,2024-11-06_10h25.33.110
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,119.68212523015494
expStart,2024-11-06 10h25.41.383072 +0530
