thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,Fixation.stopped,trial.stopped,Trials.mouse.x,Trials.mouse.y,Trials.mouse.leftButton,Trials.mouse.midButton,Trials.mouse.rightButton,Trials.mouse.time,Trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.09953703703703703],[0.4386574074074074],[1],[0],[0],[4.078335499856621],['Target'],0,0,0,0,0.07531159976497293,,10,0.048714600037783384,0.07531159976497293,0.07531159976497293,0.048436000011861324,1.0766726997680962,4.127522499766201,[-0.09953703703703703],[0.4386574074074074],[1],[0],[0],[4.078335499856621],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
1,0,1,"[-0.09953703703703703, -0.3773148148148148]","[0.4386574074074074, 0.22453703703703703]","[1, 1]","[0, 0]","[0, 0]","[0.3544588000513613, 2.2220045998692513]","[None, 'Target']",1,0,1,0,4.158546600025147,,5,4.13946279976517,4.158546600025147,4.158546600025147,0.011799199972301722,5.159746800083667,6.362071699928492,"[-0.09953703703703703, -0.3773148148148148]","[0.4386574074074074, 0.22453703703703703]","[1, 1]","[0, 0]","[0, 0]","[0.3544588000513613, 2.2220045998692513]","[None, 'Target']",547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
2,0,2,[-0.27662037037037035],[0.12384259259259259],[1],[0],[0],[1.3567955000326037],['Target'],2,0,2,0,6.408149499911815,,10,6.386693200096488,6.408149499911815,6.408149499911815,0.0244849999435246,7.409653400070965,7.7440196997486055,[-0.27662037037037035],[0.12384259259259259],[1],[0],[0],[1.3567955000326037],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
3,0,3,[-0.04976851851851852],[0.16782407407407407],[1],[0],[0],[2.374388199765235],['Target'],3,0,3,0,7.7911304999142885,,10,7.768993900157511,7.7911304999142885,7.7911304999142885,0.02480809995904565,8.792529900092632,10.143827999942005,[-0.04976851851851852],[0.16782407407407407],[1],[0],[0],[2.374388199765235],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
4,0,4,[-0.3958333333333333],[0.30324074074074076],[1],[0],[0],[1.4021208002232015],['Target'],4,0,4,0,10.174482299946249,,5,10.157456699758768,10.174482299946249,10.174482299946249,0.013474400155246258,11.175456199795008,11.560063499957323,[-0.3958333333333333],[0.30324074074074076],[1],[0],[0],[1.4021208002232015],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
5,0,5,[-0.3738425925925926],[-0.39814814814814814],[1],[0],[0],[3.3024422000162303],['Target'],5,0,5,0,11.591042600106448,,5,11.572997699957341,11.591042600106448,11.591042600106448,0.012922300025820732,12.592002399731427,14.876223200000823,[-0.3738425925925926],[-0.39814814814814814],[1],[0],[0],[3.3024422000162303],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
6,0,6,[0.4837962962962963],[0.27662037037037035],[1],[0],[0],[2.2879555001854897],['Target'],6,0,6,0,14.923759100027382,,10,14.904942399822176,14.923759100027382,14.923759100027382,0.028607900254428387,15.92491289973259,17.193338899873197,[0.4837962962962963],[0.27662037037037035],[1],[0],[0],[2.2879555001854897],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
7,0,7,[0.4849537037037037],[0.056712962962962965],[1],[0],[0],[1.7688437001779675],['Target'],7,0,7,0,17.223598700016737,,5,17.206427599769086,17.223598700016737,17.223598700016737,0.012950500007718801,18.22467749984935,18.97577719995752,[0.4849537037037037],[0.056712962962962965],[1],[0],[0],[1.7688437001779675],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
8,0,8,[-0.2800925925925926],[0.30787037037037035],[1],[0],[0],[1.8083358998410404],['Target'],8,0,8,0,19.02337189996615,,10,19.000136099755764,19.02337189996615,19.02337189996615,0.024239900056272745,20.02447920013219,20.80892249988392,[-0.2800925925925926],[0.30787037037037035],[1],[0],[0],[1.8083358998410404],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
9,0,9,[0.4375],[0.008101851851851851],[1],[0],[0],[2.440862300340086],['Target'],9,0,9,0,20.856235899962485,,10,20.834612799808383,20.856235899962485,20.856235899962485,0.02552879974246025,21.857745899818838,23.275937600061297,[0.4375],[0.008101851851851851],[1],[0],[0],[2.440862300340086],['Target'],547174,001,2024-10-09_13h57.50.784,Visual Search Task,2024.2.1post4,59.8205980670766,2024-10-09 13h58.01.474839 +0530,
