30.7357 	INFO 	Loaded monitor calibration from ['2024_08_16 10:01']
32.5181 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFB80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFB20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDF970>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022C4E0BEBC0>, multiSample=False, name='window1', numSamples=2, pos=[192.0, 108.0], screen=0, size=array([1536,  864]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
32.5181 	EXP 	window1: backgroundImage = ''
32.5182 	EXP 	window1: backgroundFit = 'none'
32.5184 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.5185 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.5385 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.5392 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.6080 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.6081 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.6088 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.6095 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C58EDFCA0>
32.6451 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
32.6451 	EXP 	window1: recordFrameIntervals = False
32.8318 	EXP 	window1: recordFrameIntervals = True
33.0156 	EXP 	Screen (0) actual frame rate measured at 59.82Hz
33.0156 	EXP 	window1: recordFrameIntervals = False
33.0157 	EXP 	window1: mouseVisible = True
33.1182 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
36.5027 	INFO 	keyboard.Keyboard is using iohub backend.
36.5029 	EXP 	Visual Search Task: status = STARTED
36.5031 	EXP 	window1: mouseVisible = True
